GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-spring,com.increff.employee.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
employee-spring,com.increff.employee.spring,ControllerConfig,116,0,0,0,27,0,8,0,8,0
employee-spring,com.increff.employee.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
employee-spring,com.increff.employee.spring,DbConfig,108,0,0,0,28,0,4,0,4,0
employee-spring,com.increff.employee.service,ProductService,126,0,10,0,33,0,15,0,10,0
employee-spring,com.increff.employee.service,ApiException,4,0,0,0,2,0,1,0,1,0
employee-spring,com.increff.employee.service,OrderItemService,97,0,8,0,24,0,13,0,9,0
employee-spring,com.increff.employee.service,DaySalesService,20,0,0,0,6,0,4,0,4,0
employee-spring,com.increff.employee.service,UserService,51,0,2,0,14,0,7,0,6,0
employee-spring,com.increff.employee.service,BrandService,244,0,28,0,54,0,27,0,13,0
employee-spring,com.increff.employee.service,InventService,72,0,4,0,20,0,10,0,8,0
employee-spring,com.increff.employee.service,OrderService,201,0,26,0,47,0,24,0,11,0
employee-spring,com.increff.employee.util,CookieUtil,36,0,6,0,8,0,5,0,2,0
employee-spring,com.increff.employee.util,UserPrincipal,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.util,SecurityUtil,27,0,2,0,9,0,6,0,5,0
employee-spring,com.increff.employee.util,IOUtil,11,0,2,0,7,0,3,0,2,0
employee-spring,com.increff.employee.util,StringUtil,21,0,6,0,3,0,6,0,3,0
employee-spring,com.increff.employee.controller,InitApiController,59,0,2,0,16,0,5,0,4,0
employee-spring,com.increff.employee.controller,SampleController,46,0,0,0,12,0,2,0,2,0
employee-spring,com.increff.employee.controller,InventApiController,31,0,0,0,10,0,6,0,6,0
employee-spring,com.increff.employee.controller,OrderApiController,27,0,0,0,8,0,6,0,6,0
employee-spring,com.increff.employee.controller,AbstractUiController,33,0,2,0,7,0,3,0,2,0
employee-spring,com.increff.employee.controller,SiteUiController,19,0,0,0,5,0,5,0,5,0
employee-spring,com.increff.employee.controller,AppUiController,59,0,0,0,15,0,15,0,15,0
employee-spring,com.increff.employee.controller,ProductApiController,28,0,0,0,9,0,6,0,6,0
employee-spring,com.increff.employee.controller,AdminApiController,78,0,2,0,22,0,7,0,6,0
employee-spring,com.increff.employee.controller,daySalesReportController,7,0,0,0,2,0,2,0,2,0
employee-spring,com.increff.employee.controller,LoginController,89,0,6,0,20,0,7,0,4,0
employee-spring,com.increff.employee.controller,ReportsApiController,8,0,0,0,2,0,2,0,2,0
employee-spring,com.increff.employee.controller,OrderItemApiController,36,0,0,0,10,0,8,0,8,0
employee-spring,com.increff.employee.controller,AppRestControllerAdvice,30,0,0,0,7,0,3,0,3,0
employee-spring,com.increff.employee.controller,BrandApiController,28,0,0,0,9,0,6,0,6,0
employee-spring,com.increff.employee.pojo,OrderItemPojo,38,0,0,0,7,0,11,0,11,0
employee-spring,com.increff.employee.pojo,BrandPojo,24,0,0,0,10,0,7,0,7,0
employee-spring,com.increff.employee.pojo,InventPojo,17,0,0,0,4,0,5,0,5,0
employee-spring,com.increff.employee.pojo,UserPojo,31,0,0,0,13,0,9,0,9,0
employee-spring,com.increff.employee.pojo,DaySalesPojo,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.employee.pojo,OrderPojo,24,0,0,0,5,0,7,0,7,0
employee-spring,com.increff.employee.pojo,ProductPojo,38,0,0,0,7,0,11,0,11,0
employee-spring,com.increff.employee.dao,AbstractDao,19,0,0,0,4,0,4,0,4,0
employee-spring,com.increff.employee.dao,BrandDao,68,0,0,0,16,0,7,0,7,0
employee-spring,com.increff.employee.dao,InventDao,68,0,0,0,16,0,7,0,7,0
employee-spring,com.increff.employee.dao,DaySalesDao,46,0,0,0,11,0,4,0,4,0
employee-spring,com.increff.employee.dao,UserDao,62,0,0,0,15,0,7,0,7,0
employee-spring,com.increff.employee.dao,OrderDao,61,0,0,0,14,0,7,0,7,0
employee-spring,com.increff.employee.dao,ProductDao,62,0,0,0,15,0,7,0,7,0
employee-spring,com.increff.employee.dao,OrderItemDao,77,0,0,0,18,0,8,0,8,0
employee-spring,com.increff.employee.model,SalesReportData,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.employee.model,BrandForm,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.model,InvoiceData,17,0,0,0,4,0,5,0,5,0
employee-spring,com.increff.employee.model,OrderData,24,0,0,0,5,0,7,0,7,0
employee-spring,com.increff.employee.model,MessageData,10,0,0,0,4,0,3,0,3,0
employee-spring,com.increff.employee.model,UserData,24,0,0,0,10,0,7,0,7,0
employee-spring,com.increff.employee.model,SalesReportForm,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.employee.model,UserForm,24,0,0,0,10,0,7,0,7,0
employee-spring,com.increff.employee.model,DaySalesData,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.employee.model,OrderItemData,24,0,0,0,5,0,7,0,7,0
employee-spring,com.increff.employee.model,ProductData,10,0,0,0,4,0,3,0,3,0
employee-spring,com.increff.employee.model,OrderItemForm,24,0,0,0,5,0,7,0,7,0
employee-spring,com.increff.employee.model,InventForm,17,0,0,0,4,0,5,0,5,0
employee-spring,com.increff.employee.model,BrandData,10,0,0,0,4,0,3,0,3,0
employee-spring,com.increff.employee.model,OrderItemDataForInvoice,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.employee.model,ProductForm,38,0,0,0,7,0,11,0,11,0
employee-spring,com.increff.employee.model,InfoData,23,0,0,0,10,0,5,0,5,0
employee-spring,com.increff.employee.model,InventData,10,0,0,0,3,0,3,0,3,0
employee-spring,com.increff.employee.model,LoginForm,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.scheduler,DaySalesScheduler,7,0,0,0,3,0,2,0,2,0
employee-spring,com.increff.employee.dto,SalesReportDto,257,0,30,0,61,0,19,0,4,0
employee-spring,com.increff.employee.dto,InventDtoHelper,33,0,0,0,10,0,3,0,3,0
employee-spring,com.increff.employee.dto,OrderItemDtoHelper,25,0,0,0,7,0,2,0,2,0
employee-spring,com.increff.employee.dto,ProductDtoHelper,63,0,0,0,16,0,4,0,4,0
employee-spring,com.increff.employee.dto,OrderDtoHelper,56,0,2,0,15,0,5,0,4,0
employee-spring,com.increff.employee.dto,DaySalesDto,189,0,12,0,44,0,12,0,6,0
employee-spring,com.increff.employee.dto,BrandDtoHelper,57,0,2,0,15,0,5,0,4,0
employee-spring,com.increff.employee.dto,OrderItemDto,293,0,20,0,57,0,21,0,11,0
employee-spring,com.increff.employee.dto,InventDto,86,0,2,0,21,0,8,0,7,0
employee-spring,com.increff.employee.dto,BrandDto,34,0,0,0,10,0,6,0,6,0
employee-spring,com.increff.employee.dto,ProductDto,103,0,2,0,21,0,8,0,7,0
employee-spring,com.increff.employee.dto,OrderDto,223,0,10,0,51,0,13,0,8,0
